Constraints(%),algorithm,NMI,RI,cost,runtime
0%,Matching,0.08866037,0.57689846,2621.8901,1.70E+09
0%,Matching,0.091163754,0.5693295,3104.8928,1.70E+09
0%,Matching,0.087804906,0.5743974,2695.075,1.68E+09
0%,Matching,0.09441056,0.567568,3153.53,1.66E+09
0%,Matching,0.0900744,0.5654172,2771.514,1.66E+09
0%,Matching,0.0635293,0.5317125,2767.6174,1.69E+09
0%,Matching,0.0876142,0.56627536,2966.192,1.67E+09
0%,Matching,0.090668395,0.5717789,2666.7666,1.68E+09
0%,Matching,0.056948666,0.49521458,2697.3948,1.65E+09
0%,Matching,0.087220654,0.5553567,2603.1392,1.77E+09
0%,Matching,0.09317124,0.5469616,2880.339,1.67E+09
0%,Matching,0.059884027,0.5133705,2795.828,1.67E+09
0%,Matching,0.08261821,0.5692846,2671.9514,1.75E+09
0%,Matching,0.081846856,0.57778364,2580.1401,1.71E+09
0%,Matching,0.08461535,0.56142014,2735.0957,1.66E+09
0%,Matching,0.06201795,0.50777054,2746.395,1.62E+09
0%,Matching,0.081775196,0.5611265,2618.6064,1.67E+09
0%,Matching,0.05915632,0.5143408,2722.073,1.67E+09
0%,Matching,0.06573689,0.5370554,2797.951,1.68E+09
0%,Matching,0.056235384,0.50277984,2639.1924,1.72E+09
0%,Matching,0.06496484,0.52143615,2733.0747,1.66E+09
0%,Matching,0.059671983,0.5098724,2697.3948,1.67E+09
0%,Matching,0.058270335,0.51045114,2744.5928,1.67E+09
0%,Matching,0.09404796,0.5707495,2524.0295,1.72E+09
0%,Matching,0.073340654,0.54524183,3001.9238,1.69E+09
0%,Matching,0.07676105,0.5618014,3058.644,1.69E+09
0%,Matching,0.053963404,0.51260436,2602.0833,1.67E+09
0%,Matching,0.06017822,0.52676636,2674.0684,1.68E+09
0%,Matching,0.08065121,0.5529256,2366.476,1.70E+09
0%,Matching,0.07026492,0.54112655,2919.7456,1.72E+09
0%,Matching,0.081963666,0.56539285,2820.084,1.74E+09
0%,Matching,0.089458086,0.56186473,2705.6162,1.66E+09
0%,Matching,0.0834236,0.5661158,2455.2908,1.77E+09
0%,Matching,0.053152993,0.50566065,2621.8901,1.68E+09
0%,Matching,0.08094013,0.5627537,3077.1355,1.67E+09
0%,Matching,0.04596394,0.4957785,2772.5933,1.66E+09
0%,Matching,0.08994298,0.56241995,2625.9495,1.67E+09
0%,Matching,0.06438218,0.5346697,2980.665,1.77E+09
0%,Matching,0.08918331,0.5470397,2878.128,1.63E+09
0%,Matching,0.08992983,0.56222236,3094.211,1.65E+09
0%,Matching,0.08853463,0.5637771,2822.1953,1.66E+09
0%,Matching,0.09188914,0.56786704,2963.3975,1.67E+09
0%,Matching,0.09333938,0.575432,2505.84,1.73E+09
0%,Matching,0.06773658,0.53138375,2937.3938,1.68E+09
0%,Matching,0.09797501,0.54805183,2867.1748,1.66E+09
0%,Matching,0.08213969,0.57251227,2875.015,1.71E+09
0%,Matching,0.08132067,0.5676131,3028.5408,1.76E+09
0%,Matching,0.06376103,0.51844275,2710.6533,1.66E+09
0%,Matching,0.08216113,0.57812417,2624.7656,1.70E+09
0%,Matching,0.08975021,0.55415237,2740.5654,1.67E+09
0%,Matching,0.08562709,0.5562802,2840.495,1.73E+09
0%,Matching,0.06577812,0.5303141,2805.1108,1.68E+09
0%,Matching,0.05965842,0.5135482,2647.7485,1.68E+09
0%,Matching,0.097841024,0.56675094,2855.3792,1.67E+09
0%,Matching,0.071692556,0.56590545,2600.6887,1.72E+09
0%,Matching,0.054988723,0.5048728,2716.9922,1.66E+09
0%,Matching,0.058946624,0.52841663,2660.2678,1.68E+09
0%,Matching,0.085382834,0.54012895,2993.4177,1.66E+09
0%,Matching,0.090641014,0.55898976,2706.6357,1.68E+09
0%,Matching,0.065058425,0.51173043,2803.0686,1.65E+09
0%,Matching,0.085600354,0.5788046,2685.353,1.71E+09
0%,Matching,0.07511009,0.5612793,3026.4792,1.66E+09
0%,Matching,0.072277166,0.54710865,3057.4956,1.71E+09
0%,Matching,0.069155075,0.53648746,2910.0654,1.98E+09
0%,Matching,0.09124076,0.5691159,3115.3015,1.69E+09
0%,Matching,0.08702251,0.5624173,2735.0957,1.63E+09
0%,Matching,0.053164843,0.5070969,2621.8901,1.69E+09
0%,Matching,0.058451463,0.4999573,2850.9053,1.65E+09
0%,Matching,0.09251831,0.5629295,2634.5522,1.70E+09
0%,Matching,0.056442004,0.5094019,2641.8423,1.67E+09
0%,Matching,0.09558605,0.5385257,2799.0708,1.65E+09
0%,Matching,0.087709926,0.5656762,2912.68,1.67E+09
0%,Alg.1,0.08895797,0.5524664,2581.8733,5.43E+09
0%,Alg.1,0.05562034,0.5012448,2503.9539,5.28E+09
0%,Alg.1,0.06491638,0.5422474,2503.9539,5.49E+09
0%,Alg.1,0.07730499,0.55631465,2511.493,6.25E+09
0%,Alg.1,0.055256147,0.50635034,2419.9194,5.64E+09
0%,Alg.1,0.077150114,0.555023,2306.4202,6.07E+09
0%,Alg.1,0.04981262,0.50031084,2612.9197,5.17E+09
0%,Alg.1,0.06239026,0.5392646,2503.9539,5.43E+09
0%,Alg.1,0.04971175,0.5045406,2518.2346,5.65E+09
0%,Alg.1,0.074109994,0.5728942,2296.547,5.55E+09
0%,Alg.1,0.054480642,0.50603247,2503.9539,5.08E+09
0%,Alg.1,0.073800504,0.56467277,2269.551,6.15E+09
0%,Alg.1,0.0710332,0.5704769,2269.551,5.68E+09
0%,Alg.1,0.07951188,0.5720363,2269.551,6.45E+09
0%,Alg.1,0.07766827,0.55208874,2458.6968,6.47E+09
0%,Alg.1,0.083156094,0.5444657,2503.8274,6.13E+09
0%,Alg.1,0.050089616,0.49064058,2518.2346,5.90E+09
0%,Alg.1,0.05037397,0.49990165,2518.2346,7.59E+09
0%,Alg.1,0.049637116,0.56654954,2407.283,5.60E+09
0%,Alg.1,0.054758627,0.506437,2503.9539,5.12E+09
0%,Alg.1,0.07689865,0.5758472,2269.551,5.58E+09
0%,Alg.1,0.050034698,0.4906229,2518.2346,5.94E+09
0%,Alg.1,0.056096885,0.50495815,2503.9539,5.09E+09
0%,Alg.1,0.071068294,0.5515583,2503.9539,5.37E+09
0%,Alg.1,0.06332756,0.5561375,2552.0962,5.61E+09
0%,Alg.1,0.06067817,0.5342785,2503.9539,5.30E+09
0%,Alg.1,0.048729848,0.49997732,2518.2346,6.60E+09
0%,Alg.1,0.08208992,0.54451126,2458.6968,6.31E+09
0%,Alg.1,0.066117115,0.5510851,2539.3723,6.22E+09
0%,Alg.1,0.0572801,0.52829266,2503.9539,5.20E+09
0%,Alg.1,0.059885923,0.53608483,2503.9539,5.34E+09
0%,Alg.1,0.07932285,0.5526838,2458.6968,6.37E+09
0%,Alg.1,0.080727905,0.56803864,2427.1042,5.20E+09
0%,Alg.1,0.047904577,0.49373657,2518.2346,6.85E+09
0%,Alg.1,0.07975964,0.570176,2269.551,6.39E+09
0%,Alg.1,0.07747829,0.5518972,2491.763,6.69E+09
0%,Alg.1,0.07566524,0.56658125,2461.181,5.31E+09
0%,Alg.1,0.050248396,0.50510067,2555.9114,5.29E+09
0%,Alg.1,0.05209439,0.49657696,2494.4878,5.06E+09
0%,Alg.1,0.048271056,0.48775944,2550.8242,5.09E+09
0%,Alg.1,0.10156357,0.56554663,2558.432,5.05E+09
0%,Alg.1,0.061676726,0.54083794,2503.9539,5.38E+09
0%,Alg.1,0.07947305,0.54559714,2458.6968,6.78E+09
0%,Alg.1,0.061931375,0.53786755,2503.9539,5.29E+09
0%,Alg.1,0.078686,0.53740406,2448.7668,5.87E+09
0%,Alg.1,0.051513057,0.4983613,2503.9539,5.03E+09
0%,Alg.1,0.06984189,0.5534827,2503.9539,5.13E+09
0%,Alg.1,0.0898068,0.57485056,2269.551,6.02E+09
0%,Alg.1,0.07122833,0.5511784,2503.9539,5.59E+09
0%,Alg.1,0.053769503,0.50459397,2503.9539,5.06E+09
0%,Alg.1,0.0836585,0.5521788,2458.6968,6.50E+09
0%,Alg.1,0.07662798,0.5567075,2511.493,6.87E+09
0%,Alg.1,0.079932794,0.5536539,2386.6394,5.92E+09
0%,Alg.1,0.062134452,0.546073,2503.9539,5.56E+09
0%,Alg.1,0.063312426,0.535631,2503.9539,5.26E+09
0%,Alg.1,0.06387354,0.53516084,2503.9539,5.23E+09
0%,Alg.1,0.055728365,0.5675846,2407.283,5.65E+09
0%,Alg.1,0.05189313,0.49501216,2513.9458,5.09E+09
0%,Alg.1,0.083569884,0.5268883,2512.0007,6.65E+09
0%,Alg.1,0.08990647,0.5757566,2269.551,6.06E+09
0%,Alg.1,0.06696189,0.55369914,2437.1836,6.32E+09
0%,Alg.1,0.06983825,0.56218064,2269.551,5.83E+09
0%,Alg.1,0.08125181,0.55494833,2503.9539,5.04E+09
0%,Alg.1,0.052558184,0.50010407,2518.2346,6.59E+09
0%,Alg.1,0.083506964,0.5343863,2458.6968,6.52E+09
0%,Alg.1,0.063439816,0.5455926,2503.9539,5.43E+09
0%,Alg.1,0.07441756,0.5647029,2521.1543,5.34E+09
0%,Alg.1,0.07401339,0.5606725,2546.3557,5.69E+09
0%,Alg.1,0.05894177,0.53499126,2289.7576,5.77E+09
0%,Alg.1,0.06717273,0.5538999,2503.9539,5.23E+09
0%,Alg.1,0.0503755,0.50070107,2518.2346,7.47E+09
0%,Alg.1,0.06846922,0.56152934,2291.9478,5.84E+09
0%,Alg.1,0.06462129,0.5565593,2547.5056,5.61E+09
0%,Alg.1,0.06491932,0.52785057,2757.18,5.55E+09
0%,Alg.1,0.08156688,0.55096877,2458.6968,7.01E+09
0%,Alg.1,0.06214157,0.54593116,2503.9539,5.57E+09
0%,Alg.1,0.06870643,0.5710606,2357.6252,5.61E+09
0%,Alg.1,0.063594,0.5428449,2503.9539,5.38E+09
0%,Alg.1,0.067811005,0.570635,2383.7473,5.64E+09
0%,Alg.1,0.06139496,0.5108574,2518.2346,6.85E+09
0%,Alg.1,0.0770098,0.5636389,2269.551,5.75E+09
0%,Alg.1,0.073568,0.5642202,2269.551,6.39E+09
0%,Alg.1,0.08341892,0.5727184,2269.551,5.46E+09
0%,Alg.1,0.063474596,0.53610045,2503.9539,5.43E+09
0%,Alg.1,0.067097746,0.55122215,2413.6106,6.15E+09
0%,Alg.1,0.08557533,0.5585498,2458.6968,6.89E+09
0%,Alg.1,0.08163965,0.5422431,2270.4434,5.85E+09
0%,Alg.1,0.047643777,0.4867545,2530.7422,5.14E+09
0%,Alg.1,0.05092278,0.50473773,2518.2346,7.60E+09
0%,Alg.1,0.097443745,0.56942195,2394.4456,6.66E+09
0%,Alg.1,0.08190541,0.57172966,2269.551,5.76E+09
0%,Alg.1,0.0616867,0.5441788,2503.9539,5.51E+09
0%,Alg.1,0.07654746,0.554991,2537.0845,5.45E+09
0%,Alg.1,0.06716259,0.5501781,2503.9539,5.46E+09
0%,Alg.1,0.051240582,0.50162095,2564.8784,5.80E+09
0%,Alg.1,0.077895045,0.5534221,2458.6968,6.55E+09
0%,Alg.1,0.05981306,0.53233254,2503.9539,5.23E+09
0%,Alg.1,0.0885211,0.5464641,2662.1917,4.96E+09
0%,Alg.1,0.07930974,0.54764193,2458.6968,6.61E+09
0%,Alg.1,0.08064919,0.5374301,2503.9539,4.97E+09
2%,Greedy,0.070078544,0.5945814,7636.8345,7.64E+09
2%,Greedy,0.069776826,0.5860779,8332.381,9.44E+09
2%,Greedy,0.06824663,0.59347326,7636.8345,7.57E+09
2%,Greedy,0.082045615,0.5922876,7636.8345,7.45E+09
2%,Greedy,0.0788993,0.59483826,7636.8345,7.48E+09
2%,Greedy,0.05264998,0.5789689,7636.8345,7.78E+09
2%,Greedy,0.07471045,0.5945806,7636.8345,7.45E+09
2%,Greedy,0.080045745,0.57717025,7884.2686,9.56E+09
2%,Greedy,0.06062153,0.5298261,7810.0513,1.26E+10
2%,Greedy,0.08992299,0.58853,7636.8345,8.60E+09
2%,Greedy,0.088822156,0.5954991,7636.8345,7.48E+09
2%,Greedy,0.100589454,0.5963946,7636.8345,7.49E+09
2%,Greedy,0.06628303,0.5949591,7636.8345,7.51E+09
2%,Greedy,0.06958753,0.59454286,7636.8345,7.53E+09
2%,Greedy,0.074529715,0.59394854,7636.8345,7.85E+09
2%,Greedy,0.07169938,0.5938937,7636.8345,7.49E+09
2%,Greedy,0.054587457,0.5793031,7636.8345,7.87E+09
2%,Greedy,0.08738802,0.59377015,7636.8345,7.60E+09
2%,Greedy,0.0729796,0.5930674,7636.8345,7.47E+09
2%,Greedy,0.07253701,0.5928567,7636.8345,7.49E+09
2%,Greedy,0.07484601,0.5938569,7636.8345,7.45E+09
2%,Greedy,0.068440616,0.5941617,7636.8345,7.53E+09
2%,Greedy,0.07702626,0.5906423,7636.8345,7.36E+09
2%,Greedy,0.074721076,0.593449,7636.8345,7.86E+09
2%,Greedy,0.08434553,0.5931931,7636.8345,7.45E+09
2%,Greedy,0.080071524,0.5932108,7636.8345,7.49E+09
2%,Greedy,0.07732674,0.5934081,8491.683,7.15E+09
2%,Greedy,0.1108191,0.5978579,7636.8345,7.55E+09
2%,Greedy,0.06993854,0.59450823,7636.8345,7.46E+09
2%,Greedy,0.079717115,0.59550315,7636.8345,7.45E+09
2%,Greedy,0.101016395,0.5974403,7636.8345,7.48E+09
2%,Greedy,0.071013376,0.5910776,8328.512,7.53E+09
2%,Greedy,0.07388781,0.59444,7636.8345,7.48E+09
2%,Greedy,0.09241067,0.59516275,7636.8345,7.50E+09
2%,Greedy,0.067274794,0.5952979,7636.8345,7.52E+09
2%,Greedy,0.07291666,0.5938065,7636.8345,7.47E+09
2%,Greedy,0.09139915,0.5884564,7855.0024,8.67E+09
2%,Greedy,0.08833866,0.5942261,7636.8345,7.44E+09
2%,Greedy,0.0780996,0.595311,7636.8345,7.49E+09
2%,Greedy,0.09558424,0.59664863,7636.8345,7.50E+09
2%,Greedy,0.07471933,0.5876154,8460.491,1.00E+10
2%,Greedy,0.09062357,0.582161,8460.491,1.00E+10
2%,Greedy,0.07738667,0.58498806,8460.491,1.00E+10
2%,Greedy,0.07683935,0.58570606,8460.491,1.00E+10
2%,Greedy,0.08320277,0.585652,8460.491,1.00E+10
2%,Greedy,0.07763865,0.5704294,8570.584,1.32E+10
2%,Greedy,0.08029288,0.5840895,8460.491,1.00E+10
2%,Greedy,0.07982595,0.58521855,8460.491,1.04E+10
2%,Greedy,0.08122508,0.5795574,7652.8774,1.00E+10
2%,Greedy,0.07924945,0.5839694,8460.491,1.00E+10
2%,Greedy,0.08125796,0.58239955,8460.491,1.00E+10
2%,Greedy,0.08281339,0.5765962,7652.8774,1.24E+10
2%,Greedy,0.070350595,0.5874634,8460.491,1.01E+10
2%,Greedy,0.059628166,0.5717951,8460.491,1.03E+10
2%,Greedy,0.081813104,0.5824457,8460.491,1.00E+10
2%,Greedy,0.07873067,0.58446866,8460.491,1.00E+10
2%,Greedy,0.07352626,0.58740103,8460.491,9.99E+09
2%,Greedy,0.08181712,0.58564186,8460.491,1.00E+10
2%,Greedy,0.07975956,0.5706794,8548.0205,1.32E+10
2%,Greedy,0.08173846,0.5835329,8460.491,1.01E+10
2%,Greedy,0.07951741,0.5706089,8548.0205,1.20E+10
2%,Greedy,0.07709486,0.58475924,7652.8774,1.00E+10
2%,Greedy,0.079377845,0.58327097,8460.491,1.00E+10
2%,Greedy,0.07722207,0.58641905,8460.491,1.00E+10
2%,Greedy,0.091741994,0.57839346,7514.46,1.73E+10
2%,Greedy,0.083348796,0.5740796,7652.8774,1.44E+10
2%,Greedy,0.12749751,0.5912992,8460.491,9.99E+09
2%,Greedy,0.077982485,0.5864998,8460.491,1.01E+10
2%,Greedy,0.084607825,0.57570934,7652.8774,1.25E+10
2%,Greedy,0.07221537,0.58763325,8460.491,1.03E+10
2%,Greedy,0.08069098,0.5842668,8460.491,1.01E+10
2%,Greedy,0.08532206,0.57074076,7652.8774,1.12E+10
2%,Greedy,0.062129017,0.5709166,8460.491,1.09E+10
2%,Greedy,0.07456356,0.5879501,8460.491,1.00E+10
2%,Greedy,0.06360948,0.57214,8460.491,1.04E+10
2%,Greedy,0.07770272,0.5706665,8570.75,1.32E+10
2%,Greedy,0.06874294,0.5878458,7652.8774,7.37E+09
2%,Greedy,0.06470283,0.56450284,8460.491,1.09E+10
2%,Greedy,0.10799553,0.58783084,8460.491,1.00E+10
2%,Greedy,0.06420353,0.5629704,8367.845,1.10E+10
2%,Greedy,0.060984254,0.56450695,8755.138,1.31E+10
2%,Greedy,0.056527264,0.5496184,7480.391,1.07E+10
2%,Greedy,0.06390202,0.5715284,8755.138,1.33E+10
2%,Greedy,0.12129068,0.5916795,8755.138,1.31E+10
2%,Greedy,0.05883989,0.5614696,7480.391,1.18E+10
2%,Greedy,0.056631185,0.5788261,8755.138,1.30E+10
2%,Greedy,0.059284642,0.55227476,7480.391,1.27E+10
2%,Greedy,0.058976218,0.56950927,8755.138,1.30E+10
2%,Greedy,0.060525723,0.56852806,8755.138,1.31E+10
2%,Greedy,0.060739752,0.5574691,8755.138,1.33E+10
2%,Greedy,0.08047507,0.57882273,7804.1704,1.20E+10
2%,Greedy,0.05742418,0.5635371,8755.138,1.33E+10
2%,Greedy,0.059061505,0.5687539,7480.391,1.37E+10
2%,Greedy,0.055754732,0.56912076,8755.138,1.31E+10
2%,Greedy,0.06742674,0.57017046,7480.391,1.31E+10
2%,Greedy,0.081106775,0.5885081,8755.138,1.32E+10
2%,Greedy,0.07997654,0.5858499,8755.138,1.30E+10
2%,Greedy,0.07215941,0.5708791,8755.138,1.31E+10
2%,Greedy,0.055753898,0.5748498,8755.138,1.30E+10
2%,Greedy,0.056266543,0.51259446,8755.138,1.65E+10
2%,Greedy,0.068031766,0.57584196,8755.138,1.30E+10
2%,Greedy,0.05460302,0.57415134,8755.138,1.30E+10
2%,Greedy,0.057589483,0.5599042,7480.391,1.18E+10
2%,Greedy,0.060713388,0.5631109,8755.138,1.31E+10
2%,Greedy,0.10653644,0.5921915,8755.138,1.31E+10
2%,Greedy,0.06179757,0.5694176,8755.138,1.31E+10
