Constraints(%),algorithm,ACC,Purity,F-1,ARI,NMI,RI,cost,runtime
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.50E+09
0%,matching,0.5859129,0.5969682,0.6118691,0.9975369,0.005384374,0.45943868,0.64035356,1.49E+09
0%,matching,0.5869651,0.5998285,0.61239374,0.9975365,0.011295267,0.4618746,0.67728275,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.5859269,0.5969682,0.61188066,0.99753696,0.005378922,0.45944694,0.64035356,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.46E+09
0%,matching,0.58612156,0.5969682,0.61222965,0.997541,0.005122622,0.45906943,0.6242309,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.6268407,0.6358723,0.6199071,0.9975403,0.08702774,0.49144652,0.62694776,1.54E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.586097,0.59696645,0.6119982,0.9975384,0.005563983,0.45929015,0.675569,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58685815,0.59987056,0.61229116,0.99753535,0.011403021,0.46196783,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.46E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.46E+09
0%,matching,0.58696157,0.5998337,0.61238766,0.9975364,0.011306143,0.46187535,0.67728275,1.50E+09
