Constraints(%),algorithm,NMI,RI,cost,runtime
0%,matching,0.09805241,0.503498,255,2.45E+07
0%,matching,0.0935704,0.5067821,255,2.39E+07
0%,matching,0.017667226,0.50246084,272.0478,2.70E+07
0%,matching,0.060300227,0.57858807,260.14227,2.53E+07
0%,matching,0.021096064,0.60920185,239.05229,2.30E+07
0%,matching,0.031526014,0.52150387,266.95694,2.65E+07
0%,matching,0.017696142,0.5001279,283.9824,2.67E+07
0%,matching,0.004201224,0.5607679,280.0518,2.40E+07
0%,matching,0.035798535,0.506867,255,2.44E+07
0%,matching,0.02261117,0.63674206,246.38791,2.14E+07
0%,matching,0.056034654,0.50654,255,2.42E+07
0%,matching,0.06258687,0.5063906,255,2.54E+07
0%,matching,0.01248131,0.6150528,255.29002,2.15E+07
0%,matching,0.016731154,0.627291,255.01764,2.12E+07
0%,matching,0.062189676,0.6117993,255.9414,2.60E+07
0%,matching,0.096697964,0.5068402,255,2.40E+07
0%,matching,0.017765602,0.5041247,264.74704,2.53E+07
0%,matching,0.11265843,0.5033094,261.15512,2.41E+07
0%,matching,0.10983434,0.5128581,275.77527,2.50E+07
0%,matching,0.07008327,0.5568856,260.23642,2.22E+07
0%,matching,0.09899239,0.5072108,255,2.39E+07
0%,matching,0.057067376,0.5064109,255,2.43E+07
0%,matching,0.03358871,0.526572,266.0094,2.64E+07
0%,matching,0.08995295,0.5065083,255,2.42E+07
0%,matching,0.09428238,0.5067413,255,2.40E+07
0%,matching,0.040303454,0.5067309,255,2.47E+07
0%,matching,0.08018216,0.5059794,255,2.44E+07
0%,matching,0.01526266,0.63704103,250.32779,2.10E+07
0%,matching,0.09058249,0.50650364,255,3.41E+07
0%,matching,0.092904344,0.50679356,255,2.42E+07
0%,matching,0.011151528,0.61359715,255.36249,2.15E+07
0%,matching,0.13412262,0.5015916,310.0242,2.43E+07
0%,matching,0.07188373,0.630294,255.84761,2.39E+07
0%,matching,0.032218404,0.523962,266.37192,2.64E+07
0%,matching,0.09635933,0.50691396,255,2.39E+07
0%,matching,0.120171174,0.5066563,262.66708,2.40E+07
0%,matching,0.022389157,0.5078283,269.4754,2.67E+07
0%,matching,0.022697486,0.63659704,247.34187,2.92E+07
0%,matching,0.011788197,0.6542294,252.4084,2.08E+07
0%,matching,0.005568407,0.6094003,256.12888,2.17E+07
0%,matching,0.02641225,0.62430674,255.03137,2.13E+07
0%,matching,0.021250462,0.60933536,235.66502,2.30E+07
0%,matching,0.102193475,0.5075159,255,2.41E+07
0%,matching,0.010189909,0.614439,255.31354,2.14E+07
0%,matching,0.095721655,0.5067822,255,2.39E+07
0%,matching,0.098472446,0.50253296,263.8996,2.84E+07
0%,matching,0.10535399,0.5078948,255,2.38E+07
0%,matching,0.006219962,0.60175467,256.53265,2.21E+07
0%,matching,0.06466036,0.6364307,255.78311,2.36E+07
0%,matching,0.006589004,0.6129058,255.6345,2.15E+07
0%,matching,0.098574735,0.507201,255,2.39E+07
0%,matching,0.0652069,0.63357663,255.78311,2.37E+07
0%,this work,0.06967075,0.5030027,259.12354,6.65E+08
0%,this work,0.14178279,0.71304554,287.18286,3.67E+08
0%,this work,0.017052306,0.5010497,268.58517,2.92E+08
0%,this work,0.063637115,0.5026767,259.12354,3.59E+08
0%,this work,0.09865965,0.5068766,255.57973,3.17E+08
0%,this work,0.005385482,0.6637363,251.11551,2.90E+08
0%,this work,0.103552125,0.50844884,254,3.14E+08
0%,this work,0.02247517,0.63615376,250.87646,2.90E+08
0%,this work,8.53E-04,0.5304904,279.1326,3.43E+08
0%,this work,0.02189654,0.50674134,249.20073,3.05E+08
0%,this work,0.051697377,0.5029042,259.12354,3.48E+08
