Constraints(%),algorithm,NMI,RI,cost,runtime
0%,this work,0.38673636,0.6791722,305.13248,1114049
0%,this work,0.45191872,0.695804,250.03934,1098286
0%,this work,0.34028152,0.60020316,390.62274,850466
0%,this work,0.39548,0.6427347,382.1189,652581
0%,this work,0.38978395,0.68056875,325.02722,980452
0%,this work,0.34028152,0.60020316,390.62274,1122912
0%,this work,0.45191872,0.695804,252.68286,783920
0%,this work,0.4253913,0.63854504,402.58118,626485
0%,this work,0.32870328,0.6202628,380.61615,1704638
0%,this work,0.3433578,0.6092173,390.62274,646260
0%,this work,0.33808386,0.60426587,390.16458,808662
0%,this work,0.40664512,0.67091984,302.0498,722433
0%,this work,0.4322279,0.6941535,259.1594,1102082
0%,this work,0.38007876,0.6421634,372.121,1018444
0%,this work,0.39449543,0.68031484,289.33554,823280
0%,this work,0.41633993,0.68666285,250.03934,817704
0%,this work,0.38673636,0.6791722,295.23517,1083871
0%,this work,0.32660344,0.62864214,355.9872,718976
0%,this work,0.40664512,0.67091984,322.18436,714212
0%,this work,0.39374435,0.6728242,276.63797,1168802
0%,this work,0.4152455,0.6789183,282.3348,882301
0%,this work,0.32870328,0.6202628,385.0123,639042
0%,this work,0.42795134,0.6934552,276.3305,1135067
0%,this work,0.3433578,0.6092173,390.62274,834050
0%,this work,0.40664512,0.67091984,302.0498,729304
0%,this work,0.45191872,0.695804,250.32964,954036
0%,this work,0.4369772,0.64901924,370.23965,758821
0%,this work,0.39449543,0.68031484,280.09482,941071
0%,this work,0.45191872,0.695804,255.02202,499079
0%,this work,0.3178839,0.6159462,360.3344,342484
0%,this work,0.4130591,0.6528915,400.18875,338895
0%,this work,0.45191872,0.695804,250.03934,657720
0%,this work,0.40664512,0.67091984,302.0498,372757
0%,this work,0.3263789,0.586428,405.06796,342558
0%,this work,0.36484805,0.66165173,318.5901,390399
0%,this work,0.39449543,0.68031484,286.2178,415423
0%,this work,0.3877479,0.65435153,335.07,413740
0%,this work,0.4322279,0.6941535,256.50534,408870
0%,this work,0.427235,0.69364566,275.82327,408811
0%,this work,0.32870328,0.6202628,385.0123,335991
0%,this work,0.4369772,0.64901924,370.02045,391917
0%,this work,0.40808743,0.6785374,270.4271,473508
0%,this work,0.45191872,0.695804,250.03934,401890
0%,this work,0.3915517,0.66266745,350.3206,369801
0%,this work,0.39548,0.6427347,382.1189,352377
0%,this work,0.4130591,0.6528915,397.53055,329069
0%,this work,0.43246245,0.68786895,245.40237,335321
0%,this work,0.33729604,0.6245794,390.62274,342529
0%,this work,0.36484805,0.66165173,318.5901,385251
