Constraints(%),algorithm,NMI,RI,cost,runtime
0%,matching,0.016213795,0.12323139,6.708204,2.62E+07
0%,matching,0.016213795,0.12323139,6.244998,2.60E+07
0%,matching,0.016206864,0.123227954,6.4807405,2.79E+07
0%,matching,0.016213793,0.12323139,6.164414,2.91E+07
0%,matching,0.016206793,0.123227954,6.5574384,2.59E+07
0%,matching,0.014443452,0.12179316,6,2.60E+07
0%,matching,0.014436563,0.12178972,6.3245554,2.59E+07
0%,matching,0.016227657,0.12323825,6.4031243,2.60E+07
0%,matching,0.014436563,0.12178972,6.244998,2.60E+07
0%,matching,0.014436563,0.12178972,5.91608,2.66E+07
0%,matching,0.014436563,0.12178972,6,2.62E+07
0%,matching,0.016193038,0.12322109,6.3245554,2.80E+07
0%,matching,0.016227657,0.12323825,6.4031243,2.60E+07
0%,matching,0.014436563,0.12178972,6.164414,2.60E+07
0%,matching,0.014436521,0.12178972,6.0827627,2.61E+07
0%,matching,0.017984588,0.12467305,6.78233,2.60E+07
0%,matching,0.028127376,0.1431727,6.78233,2.64E+07
0%,matching,0.014443452,0.12179316,5.91608,3.13E+07
0%,matching,0.014436521,0.12178972,6.4807405,2.60E+07
0%,matching,0.016206846,0.123227954,6.4031243,2.60E+07
0%,matching,0.014443452,0.12179316,6.244998,2.60E+07
0%,matching,0.016227657,0.12323825,6.5574384,3.26E+07
0%,matching,0.016213795,0.12323139,6.4031243,3.22E+07
0%,matching,0.016206846,0.123227954,6.3245554,2.59E+07
0%,matching,0.016227657,0.12323825,6.3245554,2.60E+07
0%,matching,0.016193038,0.12322109,6.164414,2.60E+07
0%,matching,0.22516952,0.64271617,7.745967,2.97E+07
0%,matching,0.016213795,0.12323139,6.3245554,2.61E+07
0%,matching,0.016227657,0.12323825,6.3245554,2.62E+07
0%,matching,0.016227657,0.12323825,6.4807405,2.60E+07
0%,matching,0.016213724,0.12323139,6.4031243,2.61E+07
0%,matching,0.016213795,0.12323139,6.3245554,2.62E+07
0%,matching,0.22516952,0.64271617,7.745967,3.11E+07
0%,matching,0.014436563,0.12178972,6.0827627,2.63E+07
0%,matching,0.014436521,0.12178972,6.244998,2.60E+07
0%,matching,0.016213724,0.12323139,6.164414,2.61E+07
0%,matching,0.014436563,0.12178972,5.91608,2.60E+07
0%,matching,0.016213795,0.12323139,6.4031243,2.61E+07
0%,matching,0.014436563,0.12178972,6,2.60E+07
0%,matching,0.014436521,0.12178972,6.0827627,2.80E+07
0%,matching,0.016227657,0.12323825,6.4031243,2.59E+07
0%,matching,0.014436521,0.12178972,6.0827627,2.61E+07
0%,matching,0.016213795,0.12323139,6.6332498,2.61E+07
0%,matching,0.016213724,0.12323139,6.78233,2.59E+07
0%,matching,0.014443452,0.12179316,6.0827627,4.26E+07
0%,matching,0.014443452,0.12179316,6.164414,2.61E+07
0%,matching,0.016206846,0.123227954,6.5574384,2.61E+07
0%,matching,0.016213795,0.12323139,6.3245554,2.60E+07
0%,matching,0.014436563,0.12178972,6.164414,2.61E+07
0%,matching,0.014436521,0.12178972,6.3245554,2.61E+07
0%,matching,0.014436563,0.12178972,6.3245554,2.60E+07
0%,matching,0.016227657,0.12323825,6.244998,2.59E+07
0%,matching,0.014450408,0.121796586,6.244998,2.60E+07
0%,matching,0.014436563,0.12178972,6.0827627,2.60E+07
0%,matching,0.016227657,0.12323825,6.3245554,2.61E+07
0%,matching,0.016227657,0.12323825,6.3245554,2.60E+07
0%,matching,0.014443452,0.12179316,6.0827627,2.60E+07
0%,matching,0.016213795,0.12323139,6.6332498,3.33E+07
0%,this work,0.014443452,0.12179316,6.4031243,7.63E+07
0%,this work,0.014436521,0.12178972,6.0827627,1.10E+08
0%,this work,0.014443452,0.12179316,6.0827627,1.05E+08
